slide_ID,num_patches,all_patches
JMR0758,63238,212220
JMR0759,1597,99974
JMR0760,11664,42706
JMR0762,14837,51120
JMR0763,6066,26195
JMR0764,1642,18824
JMR0765,23126,328202
JMR0766,19891,63720
JMR0767,456,18177
JMR0768,20863,54054
JMR0769,24450,97376
JMR0770,17905,59334
JMR0772,13190,71463
JMR0773,5577,52779
JMR0775,13357,58302
JMR0776,3091,48865
JMR0777,1738,15347
JMR0779,30742,67100
JMR0780,10074,36720
JMR0781,12996,45257
JMR0782,80389,143810
JMR0783,11565,65392
JMR0784,15431,46482
JMR0785,7350,66389
JMR0787,11725,39380
JMR0789,29755,107570
JMR0790,6894,32568
JMR0793,20693,60066
JMR0794,22524,73066
JMR0795,10641,40920
JMR0796,89296,213154
JMR0798,901,50621
JMR0799,19991,64512
JMR0800,1394,22575
JMR0801,45102,118720
JMR0803,5978,25920
JMR0804,8356,50268
JMR0805,12014,48720
JMR0807,4629,44472
JMR0809,9419,46494
JMR0810,3488,35208
JMR0813,20881,75924
JMR0814,24713,71700
JMR0815,7273,39368
JMR0816,7420,34615
JMR0817,4623,28670
JMR0818,18332,52800
JMR0819,6684,46240
JMR0820,21138,64460
JMR0822,8437,138431
JMR0823,4566,34983
JMR0824,6044,26625
JMR0825,11404,57459
JMR0826,4811,165249
JMR0827,5757,47142
JMR0828,29400,100270
JMR0829,6712,37973
JMR0830,28623,328202
JMR0831,19606,76270
JMR0833,726,16830
JMR0835,3,14577
JMR0836,46996,105560
JMR0837,12247,63206
JMR0838,12621,44980
JMR0839,13782,54758
JMR0840,9448,57057
JMR0842,9656,41280
JMR0844,6098,33396
JMR0845,22762,70096
JMR0846,48497,148212
JMR0848,17718,63448
JMR0851,7643,30723
JMR0852,6570,26455
JMR0853,27280,63985
JMR0854,15500,98550
JMR0856,5068,27840
JMR0857,20304,64753
JMR0858,20167,59488
JMR0859,8651,36795
JMR0860,14872,80478
JMR0861,46313,105728
JMR0863,56869,124656
JMR0864,2772,16440
JMR0865,705,20882
JMR0866,42447,132573
JMR0867,29474,84150
JMR0872,17288,64746
JMR0873,1205,15344
JMR0874,28800,78936
JMR0875,5881,38688
JMR0876,39788,76608
JMR0877,5542,26474
JMR0878,15570,55420
JMR0879,19934,193848
JMR0880,48710,124110
JMR0881,5707,74202
JMR0883,12023,40404
JMR0885,8595,37260
JMR0886,11897,54870
JMR0887,3302,38070
JMR0888,11636,41055
JMR0889,24976,96900
JMR0890,14131,112480
JMR0892,19505,64050
JMR0893,7783,32480
JMR0894,8928,70770
JMR0895,23957,74256
JMR0896,7424,29949
JMR0897,1265,21408
JMR0898,14093,44820
JMR0899,5291,28080
JMR0900,26551,102184
JMR0901,29609,76820
JMR0903,7113,43424
JMR0904,5573,34224
JMR0905,11605,40180
JMR0906,9287,71325
JMR0907,6150,47564
JMR0908,9277,35649
JMR0910,8501,46320
JMR0911,9477,33810
JMR0912,7994,43834
JMR0913,11197,149144
JMR0914,14776,49266
JMR0915,27408,72220
JMR0916,13286,68013
JMR0917,25509,75951
JMR0918,683,21004
JMR0921,24659,66045
JMR0924,15554,61994
JMR0925,13440,48894
JMR0926,7499,36270
JMR0928,7477,68068
JMR0929,35995,129551
JMR0930,11653,39501
JMR0931,22827,117975
JMR0932,16901,47190
JMR0933,16463,45024
JMR0934,8823,32665
JMR0935,14410,107520
JMR0936,22732,60250
JMR0937,10497,45360
JMR0938,13848,53865
JMR0939,15239,42768
JMR0940,34170,72828
JMR0942,3263,28324
JMR0945,10874,38406
JMR0946,7743,41470
JMR0947,8133,30644
JMR0948,7079,30176
JMR0949,7630,27318
JMR0950,4584,21812
JMR0953,7832,31395
JMR0954,17921,94608
JMR0955,20295,60000
JMR0956,1725,66389
JMR0957,11567,38675
JMR0958,40088,139392
JMR0959,12543,42579
JMR0960,5527,46920
JMR0961,8397,39904
JMR0962,11672,54390
JMR0963,7237,31059
JMR0964,10926,52768
JMR0965,4923,28130
JMR0966,10064,47260
JMR0967,4688,31388
JMR0968,15836,51706
JMR0970,26452,104800
JMR0971,8395,46460
JMR0976,1551,20140
JMR0977,13082,328202
JMR0978,5427,328202
JMR0979,31505,103683
JMR0980,3688,20880
JMR0981,3424,19964
JMR0983,24832,80478
JMR0985,10963,328202
JMR0987,2995,23226
JMR0988,26371,67089
JMR0989,8110,46170
JMR0990,2092,20374
JMR0991,15007,48906
JMR0992,16978,46620
JMR0993,4366,22914
JMR0994,13201,37664
JMR0995,11821,328202
JMR0996,4296,23184
JMR0998,414,14375
JMR0999,8204,34694
JMR1001,17201,74760
JMR1002,6672,30250
JMR1004,43911,133892
JMR1005,1913,14763
JMR1006,8796,328202
JMR1008,8840,45384
JMR1009,9112,40500
JMR1010,5240,23316
JMR1011,13924,328202
JMR1013,24896,73629
JMR1015,25663,74000
JMR1016,29329,110600
JMR1017,115,13680
JMR1018,7597,29106
JMR1020,6766,29155
JMR1021,6286,30753
JMR1022,6409,33625
JMR1023,26366,73440
JMR1025,8047,54332
JMR1026,9617,31897
JMR1027,4049,27183
JMR1028,3816,28914
JMR1029,18564,57368
JMR1030,33146,126999
JMR1031,10530,40455
JMR1032,5211,25410
JMR1034,8401,33552
JMR1035,9955,38364
JMR1037,8815,32565
JMR1040,2805,24570
JMR1041,17619,154368
JMR1042,15819,72000
JMR1043,24920,96096
JMR1044,4352,23205
JMR1045,7487,43600
JMR1046,3308,18120
JMR1047,9466,36888
JMR1048,10937,47610
JMR1049,14664,51759
JMR1050,13062,53464
JMR1051,19447,54060
JMR1053,10900,39270
JMR1054,3645,27200
JMR1055,2092,74290
JMR1056,9793,50600
JMR1057,26236,63648
JMR1058,7776,42930
JMR1059,13609,52438
JMR1061,22114,62965
JMR1063,28316,87696
JMR1064,8424,93436
JMR1065,11486,328202
JMR1068,18709,51300
JMR1069,26196,105244
JMR1070,5529,25944
JMR1071,14703,92302
JMR1072,12715,210345
JMR1073,6554,28420
JMR1074,7410,30051
JMR1075,23828,111805
JMR1076,11564,44394
JMR1077,11672,50715
JMR1080,4113,23520
JMR1081,28876,88944
JMR1082,25029,78642
JMR1085,8584,33825
JMR1086,21297,328202
JMR1087,1526,57088
JMR1089,17242,56446
JMR1090,14420,57305
JMR1091,11011,40767
JMR1092,7008,65260
JMR1093,380,17284
JMR1094,23976,64470
JMR1095,43362,150060
JMR1096,5625,33884
JMR1097,3244,30210
JMR1098,8390,47940
JMR1099,24016,76504
JMR1100,1002,18540
JMR1101,2546,15990
JMR1102,26963,76194
JMR1103,9601,42480
JMR1104,10534,328202
JMR1107,4449,36400
JMR1108,44868,153900
JMR1109,1312,26565
JMR1110,13220,41895
JMR1111,23361,328202
JMR1112,6827,32800
JMR1114,7040,29250
JMR1116,15861,51824
JMR1117,14654,75542
JMR1118,14988,47705
JMR1121,4356,24336
JMR1123,27540,66600
JMR1124,42306,112896
JMR1125,10894,40527
JMR1126,22371,73444
JMR1127,692,19170
JMR1129,46445,103376
JMR1131,17333,75341
JMR1132,5397,33667
JMR1133,23683,328202
JMR1134,16529,44275
JMR1135,23747,77604
JMR1136,8685,73876
JMR1137,2707,18995
JMR1138,3354,26772
JMR1140,3710,24360
JMR1141,18590,71857
JMR1143,21930,328202
JMR1144,36132,124310
JMR1145,15393,59796
JMR1148,13771,328202
JMR1150,23315,131705
JMR1151,3103,149283
JMR1152,31416,328202
JMR1153,52105,106652
JMR1154,8509,30750
JMR1156,20819,67626
JMR1157,16926,66203
JMR1158,24649,84474
JMR1159,21778,66504
JMR1160,384,8272
JMR1161,10151,42768
JMR1163,15736,44807
JMR1164,6966,31122
JMR1165,30907,105560
JMR1166,38349,90288
JMR1167,2377,21432
JMR1168,37109,104598
JMR1171,33726,79989
JMR1172,21144,64030
JMR1173,9412,44370
JMR1174,3731,25984
JMR1175,3319,53550
JMR1176,25653,95456
JMR1177,26335,90721
JMR1178,1191,23672
JMR1182,12533,38720
JMR1183,14993,49600
JMR1184,6540,31600
JMR1185,22379,60237
JMR1186,50932,328202
JMR1187,1620,16100
JMR1189,7178,28050
JMR1190,6766,90872
JMR1191,3554,22002
JMR1192,33427,129870
JMR1194,10851,48923
JMR1195,8094,42196
JMR1197,45832,137706
JMR1198,7972,41004
JMR1199,1909,328202
JMR1200,14741,73206
JMR1201,7529,45657
JMR1202,7266,104488
JMR1203,2812,25197
JMR1204,7742,52430
JMR1206,8061,28914
JMR1207,9319,34344
JMR1208,8459,32680
JMR1209,44924,183261
JMR1211,2398,15827
JMR1212,3646,26004
JMR1213,8931,31889
JMR1217,1857,21470
JMR1218,47242,149093
JMR1219,21262,64000
JMR1220,7810,38151
JMR1221,17054,73392
JMR1223,8265,31265
JMR1224,19796,69384
JMR1225,6291,28625
JMR1226,39251,89518
JMR1228,4596,28457
JMR1230,5704,36743
JMR1232,3458,29045
JMR1235,10077,45342
JMR1236,19999,54936
JMR1238,29282,328202
JMR1239,12917,53956
JMR1240,60836,328202
JMR1241,38265,97680
JMR1242,32717,120414
JMR1243,32793,106875
JMR1244,12621,50700
JMR1248,17668,99036
JMR1250,7246,40586
